battery_id,canonical_battery_id,source,dataset_name,source_battery_id,cycle_number,timestamp,ambient_temperature,source_type,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_load_mean,temperature_mean,temperature_std,temperature_rise_rate,internal_resistance,capacity,initial_capacity,capacity_ratio,eol_cycle,RUL,health_score,status
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,1,2026-01-01T00:01:00,22.232,calce_cycle,3.7236,0.0635,3.4892,4.0787,-1.8125,0.1012,-1.7281,25.0214,1.3106,0.379,0.02475,2.07657,2.07657,1.0,80,79,100.0,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,2,2026-01-01T00:02:00,22.204,calce_cycle,3.7089,0.0662,3.4006,4.1506,-1.7683,0.1136,-1.7345,26.8289,1.4346,0.2835,0.01645,2.091,2.07657,1.0069489591008252,80,78,100.0,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,3,2026-01-01T00:03:00,26.037,calce_cycle,3.7307,0.0646,3.4536,4.1673,-1.8194,0.1221,-1.6671,25.4741,1.6447,0.7196,0.02557,2.1074,2.07657,1.0148465979957335,80,77,100.0,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,4,2026-01-01T00:04:00,22.279,calce_cycle,3.6789,0.0516,3.4233,4.0801,-1.8355,0.1254,-1.7135,24.4807,1.3838,0.4403,0.02905,2.05754,2.07657,0.9908358495018228,80,76,99.08358495018228,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,5,2026-01-01T00:05:00,26.091,calce_cycle,3.6671,0.0646,3.4163,4.1079,-1.7217,0.1256,-1.6943,25.7385,1.6371,0.8984,0.01844,2.09192,2.07657,1.0073919973802954,80,75,100.0,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,6,2026-01-01T00:06:00,23.155,calce_cycle,3.6768,0.0542,3.4943,4.1576,-1.8297,0.1262,-1.7104,26.6582,1.4835,0.4384,0.0187,2.05321,2.07657,0.9887506802082281,80,74,98.87506802082281,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,7,2026-01-01T00:07:00,22.627,calce_cycle,3.7085,0.068,3.4399,4.0919,-1.7204,0.1204,-1.7409,23.1885,1.3439,0.7647,0.02688,2.08321,2.07657,1.0031975806257434,80,73,100.0,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,8,2026-01-01T00:08:00,20.635,calce_cycle,3.6882,0.0699,3.4529,4.1671,-1.7423,0.1005,-1.6779,25.7268,1.5148,0.4401,0.02461,2.07311,2.07657,0.9983337908185133,80,72,99.83337908185132,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,9,2026-01-01T00:09:00,24.348,calce_cycle,3.6954,0.0691,3.4876,4.0963,-1.7999,0.1071,-1.6587,26.4821,1.4194,0.7751,0.02413,2.05272,2.07657,0.9885147141680752,80,71,98.85147141680753,good
calce::calce_demo::CALCE_000,calce::calce_demo::CALCE_000,calce,calce_demo,CALCE_000,10,2026-01-01T00:10:00,27.625,calce_cycle,3.7039,0.0656,3.453,4.0701,-1.8281,0.1008,-1.6571,26.5149,1.6327,0.4768,0.01587,2.05345,2.07657,0.9888662554115684,80,70,98.88662554115683,good
