battery_id,canonical_battery_id,source,dataset_name,source_battery_id,cycle_number,timestamp,ambient_temperature,source_type,chemistry,form_factor,protocol_id,charge_c_rate,discharge_c_rate,ambient_temp,nominal_capacity,eol_ratio,dataset_license,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_load_mean,temperature_mean,temperature_std,temperature_rise_rate,internal_resistance,capacity,initial_capacity,capacity_ratio,eol_cycle,RUL,health_score,status
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,0,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.78041417605179,0.2364256950991844,2.6998193,4.1999769,-0.0014956178706911523,0.3418327810872451,-0.18317233143249317,39.963426973808964,0.22906285615320213,0.050830369382059364,0.0,0.739819699191256,0.739819699191256,1.0,6300,6300,100.0,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,100,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7811049392148663,0.23641182836700728,2.6998594,4.200017,-0.0015836659412428787,0.3410764429065355,-0.18249486325270886,39.93761036415511,0.2154956504246773,0.04776708564593985,0.0,0.7347589807249153,0.739819699191256,0.993159524581634,6300,6200,99.31595245816341,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,200,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7818420165705358,0.23604395919702786,2.7000198,4.1998968,-0.0016634900189966028,0.3409187507307332,-0.18240192304786312,39.96855303878274,0.20508598984678952,0.051420001061423616,0.0,0.7313193211688438,0.739819699191256,0.9885102031863918,6300,6100,98.85102031863919,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,300,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7826288211052392,0.23561005791411568,2.6999636,4.1998806,-0.001648364295648999,0.3411581009800688,-0.1819401072581429,39.932417465468816,0.2174493863708161,0.047961081860155505,0.0,0.726827168802373,0.739819699191256,0.9824382475850724,6300,6000,98.24382475850723,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,400,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7834537930640755,0.23507926197782292,2.7000437,4.1998806,-0.0017023191447259345,0.34098181583946136,-0.1822428958766879,39.959566495353776,0.20726485058881194,0.049201888469559814,0.0,0.7239376047080429,0.739819699191256,0.9785324796020235,6300,5900,97.85324796020235,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,500,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.784073768204565,0.234680557753948,2.6998432,4.2000809,-0.0016952186002690377,0.34098446447761777,-0.18211500520211113,39.96187810554741,0.21071313138253603,0.04845168429535989,0.0,0.7202153189524835,0.739819699191256,0.9735011378310102,6300,5800,97.35011378310102,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,600,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7848138979651256,0.23415677090997306,2.6999636,4.1999207,-0.0017212734345823449,0.34086926395576506,-0.18201965629779024,39.95113607091415,0.20459299987509644,0.04832470044270031,0.0,0.7169950502070596,0.739819699191256,0.9691483627576455,6300,5700,96.91483627576454,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,700,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7859357246176994,0.23358292254918472,2.7000439,4.1999211,-0.0019131992471380138,0.340472502692789,-0.18803192599791377,39.995794187311915,0.21174228284948615,0.049730245892574215,0.0,0.7137126676686552,0.739819699191256,0.9647116296698505,6300,5600,96.47116296698505,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,800,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7866137867688794,0.2332339529156258,2.7000439,4.2000413,-0.00195650344753813,0.3403286427720276,-0.18792723230373964,40.00326113397705,0.21626524601705185,0.048953588826042616,0.0,0.7107083465407621,0.739819699191256,0.9606507468207222,6300,5500,96.06507468207222,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,900,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.787357457996529,0.23269124496699076,2.6999238,4.1999612,-0.001988776856133238,0.34028860042992987,-0.18791538087623175,40.02312589248077,0.21355796829720441,0.05085326708712689,0.0,0.70747587034659,0.739819699191256,0.9562814711746347,6300,5400,95.62814711746347,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,1000,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7880692901924156,0.2321970577056799,2.6999238,4.2000413,-0.0019956832322338648,0.3402895241716116,-0.1879139173489977,39.990410718475616,0.21287504366993829,0.051421003509334935,0.0,0.704287586962833,0.739819699191256,0.9519719300969338,6300,5300,95.19719300969338,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,1100,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7887806599962466,0.23171657078095798,2.6998034,4.1998806,-0.0020333686466835273,0.3402744650726539,-0.18791408671904178,40.03122921387464,0.22081384943537483,0.05165711054906666,0.0,0.7011629684159122,0.739819699191256,0.9477484435496892,6300,5200,94.77484435496892,good
oxford::oxford_degradation_1::Cell1,oxford::oxford_degradation_1::Cell1,oxford,oxford_degradation_1,Cell1,1200,,0.0,oxford_cycle,Li-ion,pouch,oxford_degradation_1,1.0,1.0,25.0,0.739819699191256,0.8,Oxford ORA repository,3.7894593623138784,0.231191972161615,2.6999238,4.2000012,-0.0020383071621037615,0.3402429929648508,-0.1879017596225219,39.99679340412766,0.2207471338042827,0.05255685706109965,0.0,0.698091283559505,0.739819699191256,0.9435965064496566,6300,5100,94.35965064496567,good
